,alpha,beta,delta
0,2.528901610700183e-08,3.010597155595456e-08,1.1202635920541454e-09
1,2.560507178174815e-07,3.0482228311604936e-07,9.149100763246434e-09
2,6.157568031772133e-07,7.330438133062061e-07,2.132747589230602e-08
3,1.048743838293909e-06,1.2485045693975108e-06,3.522046669265251e-08
4,1.3405073450736914e-06,1.5958420774686802e-06,4.406308648705738e-08
5,1.3659891262580093e-06,1.6261775312595348e-06,4.61685302661738e-08
6,1.3409044340161334e-06,1.5963148024001587e-06,4.444662913384725e-08
7,1.1691995447081803e-06,1.3919042198906908e-06,3.8399731333696e-08
8,8.326526467730752e-07,9.912531509203276e-07,2.7559037503539876e-08
9,4.964374162275454e-07,5.909969240804111e-07,1.6853728639887188e-08
10,4.0995430183571937e-07,4.880408355187135e-07,1.3333538828752741e-08
11,1.75296657834603e-07,2.086864974221464e-07,5.856301867024938e-09
12,9.52638535164602e-09,1.1340934942435736e-08,4.2087552223446206e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
